cdvenda;cdempresa;cdcliente;cdcolaborador;dtvenda;dtestorno;dtaltera;cdusuarioaltera;cdenderecoentrega;orcamento;observacao;cdvendasituacao;cdconta;cdindicecorrecao;valorfrete;frete;cdterceiro;cdformapagamento;cdprazopagamento;cdpedidovenda;identificadorexterno;desconto;prazomedio;saldofinal;cdprojeto;identificadorcarregamento;bonificacao;taxavenda;cdlocalarmazenagem;identificador;expedicaovendasituacao;taxapedidovenda;cdmaterialtabelapreco;percentualdesconto;cdclienteindicacao;qtdeparcelas;cdvendaorcamento;observacaointerna;cdclientevalecompra;comodato;cdcontato;valorusadovalecompra;cdpedidovendatipo;origemwebservice;cdfornecedor;percentualrepresentacao;cdprazopagamentorepresentacao;cdformapagamentorepresentacao;cdcontarepresentacao;valorbrutorepresentacao;valordescontorepresentacao;presencacompradornfe;criacaofinalizada;aprovando;valoraproximadoimposto;limitecreditoexcedido;cdcentrocusto;valorfretecif;origemotr;cdenderecofaturamento;vendapendencianaonegociada;quantidadevolumes;sinalizadosemreserva;expedicaosituacao;cdparceiro;entregaecommercerealizada;intermediadornfe;cdintermediador;cdclienteremessa;incideiss;numeropedido;nsu;codigoautorizacao;operacaonfe;valorfretecte;emailautomaticofaturamentoenviadovendarealizada
54852;3;122;18981;05/12/2025;;48:04.4;238;116;;;2;;;0;1;;70;55;53831;;;false;;;;false;0;1;2772;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54853;3;122;18981;05/12/2025;;52:26.1;238;116;;;2;;;0;1;;70;55;53831;;0;false;;;;false;0;1;2773;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54854;5;18385;373;05/12/2025;;13:44.5;373;17986;;;2;3;;0;2;;2;48;53895;;0;false;;;;false;0;2;874;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54855;3;135;18981;05/12/2025;;50:01.0;238;129;;;2;;;0;1;;70;49;53894;;0;false;;;;false;0;1;2774;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54856;5;131;373;05/12/2025;;03:15.5;373;125;;;2;;;0;2;;70;69;53896;;0;false;;;;false;0;2;875;;;;;;;;;;false;17362;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54857;3;111;18981;05/12/2025;;16:00.5;238;105;;;2;;;0;1;;70;63;53893;;0;false;;;;false;0;1;2775;;;;;;;;;;false;1853;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54858;3;90;18981;05/12/2025;;29:39.3;238;86;;;5;2;;0;1;;2;57;53891;;;false;;;;false;0;1;2776;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54859;3;51;18981;05/12/2025;;45:39.5;238;47;;;2;;;0;1;;70;54;53764;;;false;;;;false;0;1;2777;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54881;3;63;18981;06/12/2025;;00:45.5;238;59;;;2;;;0;1;;70;48;53892;;0;false;;;;false;0;1;2778;;;;;;;;;;false;506;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54914;3;114;18981;08/12/2025;;55:04.1;238;108;;;2;;;0;1;;70;48;53927;;0;false;;;;false;0;1;2779;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54953;3;55;18981;08/12/2025;;25:36.0;238;51;;;2;;;0;1;;70;50;53924;;;false;;;;false;0;1;2784;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54947;5;6307;373;08/12/2025;;08:54.4;373;6073;;ATENÇÃO - DATA DE VENCIMENTO DO BOLETO SEMPRE AS SEXTA-FEIRA;2;3;;0;2;;2;49;53928;;0;false;;;;false;0;2;876;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54954;3;55;18981;08/12/2025;;27:47.2;238;51;;;2;;;0;1;;70;50;53924;;0;false;;;;false;0;1;2785;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54955;3;41;373;08/12/2025;;36:13.4;373;38;;;2;2;;0;2;;2;70;53932;;0;false;;;;false;0;1;2786;;;;;;;;;;false;466;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54948;5;77;373;08/12/2025;;32:36.2;373;73;;"USAR PRAZO DE PAGAMENTO
 60 DIAS"" NAS COMPRAS ATÉ R$: 1.000,00.  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"''53, 60 e 67'' NAS COMPRAS A CIMA DE  R$: 1.000,00.""";2;3;;0;1;;2;80;53929;;0;false;;;;false;0;2;877;;;;;;;;;;false;410;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false;;;;;;;;;;
54949;3;135;18981;08/12/2025;;45:07.6;238;129;;;2;;;0;1;;70;49;53930;;0;false;;;;false;0;1;2780;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54950;3;127;18981;08/12/2025;;26:05.1;238;121;;;2;2;;0;1;;2;49;53926;;0;false;;;;false;0;1;2781;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54951;3;118;18981;08/12/2025;;28:59.6;238;112;;;2;;;0;1;;70;377;53931;;0;false;;;;false;0;1;2782;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54952;3;121;373;08/12/2025;;57:01.0;373;115;;;2;;;0;1;;70;50;53769;;0;false;;;;false;0;1;2783;;;;;;;;;;false;2714;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54980;3;111;18981;09/12/2025;;43:48.8;238;105;;;2;;;0;1;;70;63;53961;;0;false;;;;false;0;1;2787;;;;;;;;;;false;1853;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55014;3;62;18981;09/12/2025;;19:59.6;238;58;;;2;;;0;1;;70;54;53963;;0;false;;;;false;0;1;2790;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54981;3;72;18981;09/12/2025;;07:38.7;238;68;;;2;;;0;1;;70;50;53960;;0;false;;;;false;0;1;2788;;;;;;;;;;false;18718;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55015;3;73;18981;09/12/2025;;42:18.2;238;69;;;2;;;0;1;;70;49;53594;;0;false;;;;false;0;1;2791;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55016;3;73;18981;09/12/2025;;44:10.5;238;69;;;2;;;0;1;;70;49;53595;;0;false;;;;false;0;1;2792;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54982;5;131;373;09/12/2025;;33:00.5;373;125;;;2;;;0;2;;70;69;53962;;0;false;;;;false;0;2;878;;;;;;;;;;false;17362;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55013;3;62;18981;09/12/2025;;31:54.6;238;58;;;2;;;0;1;;70;54;53958;;0;false;;;;false;0;1;2789;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55046;3;51;18981;10/12/2025;;30:41.0;238;47;;;2;;;0;1;;70;54;53772;;0;false;;;;false;0;1;2793;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55116;3;98;18981;10/12/2025;;25:57.1;238;92;;;2;;;0;1;;70;54;53992;;;false;;;;false;0;1;2801;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55047;3;51;18981;10/12/2025;;33:36.6;238;47;;;2;;;0;1;;70;54;53957;;0;false;;;;false;0;1;2794;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55079;3;51;18981;10/12/2025;;12:21.6;238;47;;;2;;;0;1;;70;54;53956;;;false;;;;false;0;1;2795;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55082;3;51;18981;10/12/2025;;10:25.2;238;47;;;2;;;0;1;;70;54;53956;;;false;;;;false;0;1;2797;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
55112;3;91;18981;10/12/2025;;21:46.2;238;87;;;2;;;0;1;;70;48;53989;;0;false;;;;false;0;1;2798;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
